0,0.5,1
0,0.5817,2
4100,0.0694,1
4100,0.2542,2
8200,0.0,1
8200,0.2209,2
3600,0.2084,1
3600,0.1558,2
7700,0.0028,1
7700,0.3622,2
3100,0.3587,1
3100,0.2507,2
7200,0.0004,1
7200,0.2497,2
2600,0.4075,1
2600,0.3323,2
6700,0.0535,1
6700,0.4009,2
2100,0.3465,1
2100,0.4755,2
6200,0.1581,1
6200,0.204,2
1600,0.3926,1
1600,0.6764,2
5700,0.129,1
5700,0.2321,2
9800,0.0,1
9800,0.0625,2
1100,0.5472,1
1100,0.4845,2
5200,0.0434,1
5200,0.3381,2
9300,0.0003,1
9300,0.2237,2
600,0.6103,1
600,0.5185,2
4700,0.0695,1
4700,0.3827,2
8800,0.0001,1
8800,0.2902,2
100,0.5157,1
100,0.6393,2
4200,0.0963,1
4200,0.2891,2
8300,0.0,1
8300,0.1976,2
3700,0.1912,1
3700,0.1526,2
7800,0.007,1
7800,0.378,2
3200,0.2816,1
3200,0.1877,2
7300,0.0071,1
7300,0.247,2
2700,0.3201,1
2700,0.3492,2
6800,0.032,1
6800,0.2837,2
2200,0.3843,1
2200,0.5089,2
6300,0.1109,1
6300,0.2155,2
1700,0.3441,1
1700,0.6462,2
5800,0.1323,1
5800,0.192,2
9900,0.0,1
9900,0.0458,2
1200,0.5265,1
1200,0.5678,2
5300,0.0362,1
5300,0.3199,2
9400,0.0033,1
9400,0.1995,2
700,0.5657,1
700,0.4748,2
4800,0.0903,1
4800,0.4791,2
8900,0.002,1
8900,0.2678,2
200,0.5389,1
200,0.6229,2
4300,0.1441,1
4300,0.2821,2
8400,0.0009,1
8400,0.2261,2
3800,0.1626,1
3800,0.1647,2
7900,0.0,1
7900,0.3556,2
3300,0.2144,1
3300,0.1931,2
7400,0.0035,1
7400,0.22,2
2800,0.3857,1
2800,0.3053,2
6900,0.0152,1
6900,0.2563,2
2300,0.3719,1
2300,0.4138,2
6400,0.1306,1
6400,0.2629,2
1800,0.2872,1
1800,0.5815,2
5900,0.1912,1
5900,0.1995,2
1300,0.4378,1
1300,0.5404,2
5400,0.0411,1
5400,0.286,2
9500,0.0012,1
9500,0.161,2
800,0.5273,1
800,0.4648,2
4900,0.0911,1
4900,0.4036,2
9000,0.0,1
9000,0.3028,2
300,0.5665,1
300,0.6206,2
4400,0.1075,1
4400,0.3223,2
8500,0.0,1
8500,0.2261,2
3900,0.1352,1
3900,0.1433,2
8000,0.0003,1
8000,0.3221,2
3400,0.2213,1
3400,0.1598,2
7500,0.0009,1
7500,0.2752,2
2900,0.3261,1
2900,0.2433,2
7000,0.0055,1
7000,0.2547,2
2400,0.3678,1
2400,0.3733,2
6500,0.1134,1
6500,0.3764,2
1900,0.2889,1
1900,0.5414,2
6000,0.1967,1
6000,0.2237,2
1400,0.4276,1
1400,0.6828,2
5500,0.0719,1
5500,0.277,2
9600,0.0003,1
9600,0.1353,2
900,0.5862,1
900,0.4381,2
5000,0.1006,1
5000,0.4053,2
9100,0.0,1
9100,0.301,2
400,0.5137,1
400,0.6329,2
4500,0.0836,1
4500,0.3763,2
8600,0.0065,1
8600,0.2817,2
4000,0.1236,1
4000,0.1802,2
8100,0.0008,1
8100,0.2715,2
3500,0.2246,1
3500,0.1174,2
7600,0.0008,1
7600,0.2645,2
3000,0.3876,1
3000,0.2159,2
7100,0.0,1
7100,0.2443,2
2500,0.3977,1
2500,0.3259,2
6600,0.1063,1
6600,0.3954,2
2000,0.3235,1
2000,0.5522,2
6100,0.1451,1
6100,0.2043,2
1500,0.3825,1
1500,0.6852,2
5600,0.1044,1
5600,0.235,2
9700,0.0,1
9700,0.0807,2
1000,0.5698,1
1000,0.5051,2
5100,0.0519,1
5100,0.3655,2
9200,0.0005,1
9200,0.2636,2
500,0.6029,1
500,0.6003,2
4600,0.0875,1
4600,0.3852,2
8700,0.0009,1
8700,0.2795,2
