Nes,M,pA,rep,sweeps
50.0,1,0.0001,0,83
50.0,1,0.0001,1,82
50.0,1,0.0001,2,70
50.0,1,0.0001,3,61
50.0,1,0.0001,4,68
50.0,1,0.0001,5,79
50.0,1,0.0001,6,80
50.0,1,0.0001,7,79
50.0,1,0.0001,8,88
50.0,1,0.0001,9,80
50.0,1,0.0001,10,77
50.0,1,0.0001,11,80
50.0,1,0.0001,12,91
50.0,1,0.0001,13,79
50.0,1,0.0001,14,82
50.0,1,0.0001,15,83
50.0,1,0.0001,16,89
50.0,1,0.0001,17,91
50.0,1,0.0001,18,77
50.0,1,0.0001,19,77
50.0,1,0.0001,20,61
50.0,1,0.0001,21,69
50.0,1,0.0001,22,77
50.0,1,0.0001,23,67
50.0,1,0.0001,24,81
50.0,1,0.0001,25,67
50.0,1,0.0001,26,69
50.0,1,0.0001,27,71
50.0,1,0.0001,28,69
50.0,1,0.0001,29,72
50.0,1,0.0001,30,71
50.0,1,0.0001,31,71
50.0,1,0.0001,32,76
50.0,1,0.0001,33,69
50.0,1,0.0001,34,66
50.0,1,0.0001,35,79
50.0,1,0.0001,36,70
50.0,1,0.0001,37,67
50.0,1,0.0001,38,72
50.0,1,0.0001,39,70
50.0,1,0.0001,40,94
50.0,1,0.0001,41,57
50.0,1,0.0001,42,69
50.0,1,0.0001,43,77
50.0,1,0.0001,44,72
50.0,1,0.0001,45,71
50.0,1,0.0001,46,67
50.0,1,0.0001,47,63
50.0,1,0.0001,48,78
50.0,1,0.0001,49,87
50.0,1,0.0001,50,72
50.0,1,0.0001,51,71
50.0,1,0.0001,52,71
50.0,1,0.0001,53,81
50.0,1,0.0001,54,77
50.0,1,0.0001,55,72
50.0,1,0.0001,56,62
50.0,1,0.0001,57,67
50.0,1,0.0001,58,84
50.0,1,0.0001,59,66
50.0,1,0.0001,60,62
50.0,1,0.0001,61,75
50.0,1,0.0001,62,68
50.0,1,0.0001,63,75
50.0,1,0.0001,64,82
50.0,1,0.0001,65,79
50.0,1,0.0001,66,86
50.0,1,0.0001,67,77
50.0,1,0.0001,68,80
50.0,1,0.0001,69,82
50.0,1,0.0001,70,69
50.0,1,0.0001,71,79
50.0,1,0.0001,72,64
50.0,1,0.0001,73,75
50.0,1,0.0001,74,52
50.0,1,0.0001,75,76
50.0,1,0.0001,76,77
50.0,1,0.0001,77,71
50.0,1,0.0001,78,71
50.0,1,0.0001,79,70
50.0,1,0.0001,80,76
50.0,1,0.0001,81,72
50.0,1,0.0001,82,69
50.0,1,0.0001,83,61
50.0,1,0.0001,84,81
50.0,1,0.0001,85,78
50.0,1,0.0001,86,62
50.0,1,0.0001,87,83
50.0,1,0.0001,88,75
50.0,1,0.0001,89,78
