Nes,M,pA,rep,sweeps
100.0,1,0.001,0,710
100.0,1,0.001,1,688
100.0,1,0.001,2,693
100.0,1,0.001,3,733
100.0,1,0.001,4,733
100.0,1,0.001,5,712
100.0,1,0.001,6,718
100.0,1,0.001,7,722
100.0,1,0.001,8,697
100.0,1,0.001,9,730
100.0,1,0.001,10,748
100.0,1,0.001,11,749
100.0,1,0.001,12,652
100.0,1,0.001,13,733
100.0,1,0.001,14,720
100.0,1,0.001,15,688
100.0,1,0.001,16,708
100.0,1,0.001,17,701
100.0,1,0.001,18,744
100.0,1,0.001,19,723
100.0,1,0.001,20,716
100.0,1,0.001,21,715
100.0,1,0.001,22,717
100.0,1,0.001,23,687
100.0,1,0.001,24,695
100.0,1,0.001,25,757
100.0,1,0.001,26,716
100.0,1,0.001,27,692
100.0,1,0.001,28,737
100.0,1,0.001,29,716
100.0,1,0.001,30,722
100.0,1,0.001,31,691
100.0,1,0.001,32,728
100.0,1,0.001,33,682
100.0,1,0.001,34,736
100.0,1,0.001,35,673
100.0,1,0.001,36,701
100.0,1,0.001,37,759
100.0,1,0.001,38,739
100.0,1,0.001,39,675
100.0,1,0.001,40,735
100.0,1,0.001,41,720
100.0,1,0.001,42,690
100.0,1,0.001,43,728
100.0,1,0.001,44,710
100.0,1,0.001,45,688
100.0,1,0.001,46,724
100.0,1,0.001,47,726
100.0,1,0.001,48,716
100.0,1,0.001,49,711
100.0,1,0.001,50,711
100.0,1,0.001,51,744
100.0,1,0.001,52,723
100.0,1,0.001,53,699
100.0,1,0.001,54,736
100.0,1,0.001,55,701
100.0,1,0.001,56,749
100.0,1,0.001,57,704
100.0,1,0.001,58,702
100.0,1,0.001,59,726
100.0,1,0.001,60,758
100.0,1,0.001,61,735
100.0,1,0.001,62,694
100.0,1,0.001,63,682
100.0,1,0.001,64,732
100.0,1,0.001,65,689
100.0,1,0.001,66,687
100.0,1,0.001,67,661
100.0,1,0.001,68,690
100.0,1,0.001,69,715
100.0,1,0.001,70,751
100.0,1,0.001,71,717
100.0,1,0.001,72,711
100.0,1,0.001,73,678
100.0,1,0.001,74,722
100.0,1,0.001,75,724
100.0,1,0.001,76,753
100.0,1,0.001,77,709
100.0,1,0.001,78,684
100.0,1,0.001,79,766
100.0,1,0.001,80,696
100.0,1,0.001,81,705
100.0,1,0.001,82,710
100.0,1,0.001,83,718
100.0,1,0.001,84,713
100.0,1,0.001,85,696
100.0,1,0.001,86,748
100.0,1,0.001,87,708
100.0,1,0.001,88,694
100.0,1,0.001,89,740
100.0,1,0.001,90,738
100.0,1,0.001,91,742
100.0,1,0.001,92,732
100.0,1,0.001,93,662
100.0,1,0.001,94,673
100.0,1,0.001,95,698
100.0,1,0.001,96,666
100.0,1,0.001,97,757
100.0,1,0.001,98,702
100.0,1,0.001,99,648
100.0,1,0.001,100,725
100.0,1,0.001,101,734
100.0,1,0.001,102,740
100.0,1,0.001,103,728
100.0,1,0.001,104,711
100.0,1,0.001,105,738
100.0,1,0.001,106,722
100.0,1,0.001,107,709
