Nes,M,pA,rep,sweeps
50.0,1,0.001,0,716
50.0,1,0.001,1,721
50.0,1,0.001,2,662
50.0,1,0.001,3,646
50.0,1,0.001,4,642
50.0,1,0.001,5,694
50.0,1,0.001,6,665
50.0,1,0.001,7,670
50.0,1,0.001,8,625
50.0,1,0.001,9,664
50.0,1,0.001,10,665
50.0,1,0.001,11,663
50.0,1,0.001,12,630
50.0,1,0.001,13,644
50.0,1,0.001,14,655
50.0,1,0.001,15,689
50.0,1,0.001,16,659
50.0,1,0.001,17,670
50.0,1,0.001,18,661
50.0,1,0.001,19,699
50.0,1,0.001,20,701
50.0,1,0.001,21,653
50.0,1,0.001,22,674
50.0,1,0.001,23,629
50.0,1,0.001,24,638
50.0,1,0.001,25,676
50.0,1,0.001,26,670
50.0,1,0.001,27,658
50.0,1,0.001,28,644
50.0,1,0.001,29,636
50.0,1,0.001,30,686
50.0,1,0.001,31,653
50.0,1,0.001,32,646
50.0,1,0.001,33,661
50.0,1,0.001,34,634
50.0,1,0.001,35,642
50.0,1,0.001,36,694
50.0,1,0.001,37,710
50.0,1,0.001,38,654
50.0,1,0.001,39,629
50.0,1,0.001,40,657
50.0,1,0.001,41,655
50.0,1,0.001,42,663
50.0,1,0.001,43,694
50.0,1,0.001,44,645
50.0,1,0.001,45,645
50.0,1,0.001,46,637
50.0,1,0.001,47,679
50.0,1,0.001,48,684
50.0,1,0.001,49,674
50.0,1,0.001,50,599
50.0,1,0.001,51,682
50.0,1,0.001,52,660
50.0,1,0.001,53,674
50.0,1,0.001,54,655
50.0,1,0.001,55,626
50.0,1,0.001,56,625
50.0,1,0.001,57,675
50.0,1,0.001,58,718
50.0,1,0.001,59,698
50.0,1,0.001,60,675
50.0,1,0.001,61,651
50.0,1,0.001,62,660
50.0,1,0.001,63,623
50.0,1,0.001,64,682
50.0,1,0.001,65,732
50.0,1,0.001,66,679
50.0,1,0.001,67,681
50.0,1,0.001,68,657
50.0,1,0.001,69,704
50.0,1,0.001,70,681
50.0,1,0.001,71,676
50.0,1,0.001,72,660
50.0,1,0.001,73,670
50.0,1,0.001,74,627
50.0,1,0.001,75,671
50.0,1,0.001,76,653
50.0,1,0.001,77,709
50.0,1,0.001,78,680
50.0,1,0.001,79,716
50.0,1,0.001,80,600
50.0,1,0.001,81,619
50.0,1,0.001,82,653
50.0,1,0.001,83,604
50.0,1,0.001,84,596
50.0,1,0.001,85,660
50.0,1,0.001,86,652
50.0,1,0.001,87,665
50.0,1,0.001,88,671
50.0,1,0.001,89,675
50.0,1,0.001,90,647
50.0,1,0.001,91,640
50.0,1,0.001,92,655
50.0,1,0.001,93,705
50.0,1,0.001,94,656
50.0,1,0.001,95,698
50.0,1,0.001,96,653
50.0,1,0.001,97,698
50.0,1,0.001,98,684
50.0,1,0.001,99,625
50.0,1,0.001,100,703
50.0,1,0.001,101,623
50.0,1,0.001,102,647
50.0,1,0.001,103,659
50.0,1,0.001,104,680
50.0,1,0.001,105,642
50.0,1,0.001,106,680
50.0,1,0.001,107,700
50.0,1,0.001,108,671
50.0,1,0.001,109,644
50.0,1,0.001,110,631
50.0,1,0.001,111,646
50.0,1,0.001,112,693
50.0,1,0.001,113,659
50.0,1,0.001,114,696
50.0,1,0.001,115,652
50.0,1,0.001,116,635
50.0,1,0.001,117,647
50.0,1,0.001,118,671
50.0,1,0.001,119,631
50.0,1,0.001,120,674
50.0,1,0.001,121,698
50.0,1,0.001,122,675
50.0,1,0.001,123,684
50.0,1,0.001,124,717
50.0,1,0.001,125,693
50.0,1,0.001,126,674
50.0,1,0.001,127,670
50.0,1,0.001,128,646
50.0,1,0.001,129,715
50.0,1,0.001,130,683
50.0,1,0.001,131,624
50.0,1,0.001,132,647
50.0,1,0.001,133,638
50.0,1,0.001,134,662
50.0,1,0.001,135,639
50.0,1,0.001,136,678
50.0,1,0.001,137,662
50.0,1,0.001,138,692
50.0,1,0.001,139,626
50.0,1,0.001,140,678
50.0,1,0.001,141,604
50.0,1,0.001,142,686
50.0,1,0.001,143,632
50.0,1,0.001,144,645
50.0,1,0.001,145,682
50.0,1,0.001,146,670
50.0,1,0.001,147,638
50.0,1,0.001,148,681
50.0,1,0.001,149,663
50.0,1,0.001,150,627
50.0,1,0.001,151,610
50.0,1,0.001,152,636
50.0,1,0.001,153,680
50.0,1,0.001,154,640
50.0,1,0.001,155,637
50.0,1,0.001,156,620
50.0,1,0.001,157,658
50.0,1,0.001,158,697
50.0,1,0.001,159,625
50.0,1,0.001,160,689
50.0,1,0.001,161,632
50.0,1,0.001,162,663
50.0,1,0.001,163,644
50.0,1,0.001,164,656
50.0,1,0.001,165,641
50.0,1,0.001,166,648
50.0,1,0.001,167,675
50.0,1,0.001,168,665
50.0,1,0.001,169,657
50.0,1,0.001,170,644
50.0,1,0.001,171,630
50.0,1,0.001,172,708
50.0,1,0.001,173,653
50.0,1,0.001,174,682
50.0,1,0.001,175,660
50.0,1,0.001,176,651
50.0,1,0.001,177,700
50.0,1,0.001,178,671
50.0,1,0.001,179,660
50.0,1,0.001,180,685
50.0,1,0.001,181,678
50.0,1,0.001,182,679
50.0,1,0.001,183,628
50.0,1,0.001,184,629
50.0,1,0.001,185,660
50.0,1,0.001,186,649
50.0,1,0.001,187,680
50.0,1,0.001,188,680
50.0,1,0.001,189,648
50.0,1,0.001,190,607
50.0,1,0.001,191,670
50.0,1,0.001,192,650
50.0,1,0.001,193,657
50.0,1,0.001,194,654
50.0,1,0.001,195,679
50.0,1,0.001,196,653
50.0,1,0.001,197,681
50.0,1,0.001,198,719
50.0,1,0.001,199,669
50.0,1,0.001,200,678
50.0,1,0.001,201,629
50.0,1,0.001,202,620
50.0,1,0.001,203,645
50.0,1,0.001,204,658
50.0,1,0.001,205,652
50.0,1,0.001,206,667
50.0,1,0.001,207,663
50.0,1,0.001,208,669
50.0,1,0.001,209,660
50.0,1,0.001,210,654
50.0,1,0.001,211,717
50.0,1,0.001,212,687
50.0,1,0.001,213,632
50.0,1,0.001,214,681
50.0,1,0.001,215,681
50.0,1,0.001,216,678
50.0,1,0.001,217,634
50.0,1,0.001,218,681
50.0,1,0.001,219,681
50.0,1,0.001,220,662
50.0,1,0.001,221,629
50.0,1,0.001,222,658
50.0,1,0.001,223,667
50.0,1,0.001,224,662
50.0,1,0.001,225,670
50.0,1,0.001,226,646
50.0,1,0.001,227,637
50.0,1,0.001,228,651
50.0,1,0.001,229,639
50.0,1,0.001,230,683
50.0,1,0.001,231,658
50.0,1,0.001,232,649
50.0,1,0.001,233,646
50.0,1,0.001,234,671
50.0,1,0.001,235,734
50.0,1,0.001,236,600
50.0,1,0.001,237,668
50.0,1,0.001,238,649
50.0,1,0.001,239,674
50.0,1,0.001,240,663
50.0,1,0.001,241,672
50.0,1,0.001,242,681
50.0,1,0.001,243,639
50.0,1,0.001,244,668
50.0,1,0.001,245,661
50.0,1,0.001,246,672
50.0,1,0.001,247,640
50.0,1,0.001,248,658
50.0,1,0.001,249,658
50.0,1,0.001,250,650
50.0,1,0.001,251,669
50.0,1,0.001,252,640
50.0,1,0.001,253,638
50.0,1,0.001,254,643
50.0,1,0.001,255,696
50.0,1,0.001,256,646
50.0,1,0.001,257,597
50.0,1,0.001,258,700
50.0,1,0.001,259,610
50.0,1,0.001,260,641
50.0,1,0.001,261,672
50.0,1,0.001,262,619
50.0,1,0.001,263,693
50.0,1,0.001,264,653
50.0,1,0.001,265,649
50.0,1,0.001,266,687
50.0,1,0.001,267,655
50.0,1,0.001,268,671
50.0,1,0.001,269,621
50.0,1,0.001,270,680
50.0,1,0.001,271,670
50.0,1,0.001,272,635
50.0,1,0.001,273,658
50.0,1,0.001,274,657
50.0,1,0.001,275,663
50.0,1,0.001,276,645
50.0,1,0.001,277,640
50.0,1,0.001,278,603
50.0,1,0.001,279,660
50.0,1,0.001,280,713
50.0,1,0.001,281,676
50.0,1,0.001,282,641
50.0,1,0.001,283,644
50.0,1,0.001,284,669
50.0,1,0.001,285,603
50.0,1,0.001,286,655
50.0,1,0.001,287,705
50.0,1,0.001,288,646
50.0,1,0.001,289,653
50.0,1,0.001,290,623
50.0,1,0.001,291,596
50.0,1,0.001,292,636
50.0,1,0.001,293,685
50.0,1,0.001,294,683
50.0,1,0.001,295,688
50.0,1,0.001,296,698
50.0,1,0.001,297,628
50.0,1,0.001,298,674
50.0,1,0.001,299,680
50.0,1,0.001,300,631
50.0,1,0.001,301,636
50.0,1,0.001,302,648
50.0,1,0.001,303,652
50.0,1,0.001,304,668
50.0,1,0.001,305,647
50.0,1,0.001,306,655
