Nes,M,pA,rep,sweeps
200.0,1,0.001,0,736
200.0,1,0.001,1,719
200.0,1,0.001,2,726
200.0,1,0.001,3,731
200.0,1,0.001,4,700
200.0,1,0.001,5,735
200.0,1,0.001,6,716
200.0,1,0.001,7,696
200.0,1,0.001,8,718
200.0,1,0.001,9,697
200.0,1,0.001,10,739
200.0,1,0.001,11,710
200.0,1,0.001,12,737
200.0,1,0.001,13,751
200.0,1,0.001,14,706
200.0,1,0.001,15,738
200.0,1,0.001,16,755
200.0,1,0.001,17,768
200.0,1,0.001,18,723
200.0,1,0.001,19,750
200.0,1,0.001,20,771
200.0,1,0.001,21,720
200.0,1,0.001,22,707
200.0,1,0.001,23,739
200.0,1,0.001,24,742
200.0,1,0.001,25,730
200.0,1,0.001,26,704
200.0,1,0.001,27,723
200.0,1,0.001,28,725
200.0,1,0.001,29,762
200.0,1,0.001,30,700
200.0,1,0.001,31,711
200.0,1,0.001,32,724
200.0,1,0.001,33,746
200.0,1,0.001,34,738
200.0,1,0.001,35,679
200.0,1,0.001,36,789
200.0,1,0.001,37,679
200.0,1,0.001,38,688
200.0,1,0.001,39,739
200.0,1,0.001,40,701
200.0,1,0.001,41,731
200.0,1,0.001,42,726
200.0,1,0.001,43,692
200.0,1,0.001,44,737
200.0,1,0.001,45,737
200.0,1,0.001,46,738
200.0,1,0.001,47,755
200.0,1,0.001,48,728
200.0,1,0.001,49,671
200.0,1,0.001,50,773
200.0,1,0.001,51,768
200.0,1,0.001,52,806
200.0,1,0.001,53,702
200.0,1,0.001,54,730
200.0,1,0.001,55,766
200.0,1,0.001,56,730
200.0,1,0.001,57,711
200.0,1,0.001,58,725
200.0,1,0.001,59,755
200.0,1,0.001,60,775
200.0,1,0.001,61,677
200.0,1,0.001,62,703
200.0,1,0.001,63,706
200.0,1,0.001,64,714
200.0,1,0.001,65,743
200.0,1,0.001,66,748
200.0,1,0.001,67,711
200.0,1,0.001,68,709
200.0,1,0.001,69,726
200.0,1,0.001,70,741
200.0,1,0.001,71,770
200.0,1,0.001,72,668
200.0,1,0.001,73,759
200.0,1,0.001,74,750
200.0,1,0.001,75,734
200.0,1,0.001,76,723
200.0,1,0.001,77,755
200.0,1,0.001,78,734
200.0,1,0.001,79,690
200.0,1,0.001,80,719
200.0,1,0.001,81,674
200.0,1,0.001,82,689
200.0,1,0.001,83,719
200.0,1,0.001,84,724
200.0,1,0.001,85,753
200.0,1,0.001,86,728
200.0,1,0.001,87,756
200.0,1,0.001,88,670
200.0,1,0.001,89,744
200.0,1,0.001,90,753
200.0,1,0.001,91,697
200.0,1,0.001,92,734
200.0,1,0.001,93,763
200.0,1,0.001,94,689
200.0,1,0.001,95,734
200.0,1,0.001,96,699
200.0,1,0.001,97,703
200.0,1,0.001,98,772
200.0,1,0.001,99,725
200.0,1,0.001,100,745
200.0,1,0.001,101,752
200.0,1,0.001,102,733
200.0,1,0.001,103,743
200.0,1,0.001,104,732
200.0,1,0.001,105,681
200.0,1,0.001,106,708
200.0,1,0.001,107,734
200.0,1,0.001,108,750
200.0,1,0.001,109,794
200.0,1,0.001,110,700
200.0,1,0.001,111,744
200.0,1,0.001,112,791
200.0,1,0.001,113,739
200.0,1,0.001,114,701
200.0,1,0.001,115,707
200.0,1,0.001,116,705
200.0,1,0.001,117,725
200.0,1,0.001,118,784
200.0,1,0.001,119,738
200.0,1,0.001,120,780
200.0,1,0.001,121,731
200.0,1,0.001,122,728
200.0,1,0.001,123,676
200.0,1,0.001,124,774
200.0,1,0.001,125,756
200.0,1,0.001,126,705
200.0,1,0.001,127,738
200.0,1,0.001,128,765
200.0,1,0.001,129,731
200.0,1,0.001,130,716
200.0,1,0.001,131,705
200.0,1,0.001,132,758
200.0,1,0.001,133,718
200.0,1,0.001,134,730
200.0,1,0.001,135,722
200.0,1,0.001,136,731
200.0,1,0.001,137,740
200.0,1,0.001,138,719
200.0,1,0.001,139,760
200.0,1,0.001,140,740
200.0,1,0.001,141,734
200.0,1,0.001,142,743
200.0,1,0.001,143,730
200.0,1,0.001,144,713
200.0,1,0.001,145,727
200.0,1,0.001,146,763
200.0,1,0.001,147,751
200.0,1,0.001,148,700
200.0,1,0.001,149,719
200.0,1,0.001,150,716
200.0,1,0.001,151,721
200.0,1,0.001,152,691
200.0,1,0.001,153,718
200.0,1,0.001,154,784
200.0,1,0.001,155,752
200.0,1,0.001,156,794
200.0,1,0.001,157,777
200.0,1,0.001,158,753
200.0,1,0.001,159,695
200.0,1,0.001,160,706
200.0,1,0.001,161,722
200.0,1,0.001,162,705
200.0,1,0.001,163,737
200.0,1,0.001,164,710
200.0,1,0.001,165,723
200.0,1,0.001,166,712
200.0,1,0.001,167,699
200.0,1,0.001,168,703
200.0,1,0.001,169,725
200.0,1,0.001,170,728
200.0,1,0.001,171,673
200.0,1,0.001,172,719
200.0,1,0.001,173,791
200.0,1,0.001,174,680
200.0,1,0.001,175,706
200.0,1,0.001,176,714
200.0,1,0.001,177,759
200.0,1,0.001,178,755
200.0,1,0.001,179,691
200.0,1,0.001,180,751
200.0,1,0.001,181,696
200.0,1,0.001,182,663
200.0,1,0.001,183,760
200.0,1,0.001,184,727
200.0,1,0.001,185,683
200.0,1,0.001,186,759
200.0,1,0.001,187,753
200.0,1,0.001,188,768
200.0,1,0.001,189,680
200.0,1,0.001,190,731
200.0,1,0.001,191,726
200.0,1,0.001,192,731
200.0,1,0.001,193,696
200.0,1,0.001,194,725
200.0,1,0.001,195,673
200.0,1,0.001,196,712
200.0,1,0.001,197,739
200.0,1,0.001,198,676
200.0,1,0.001,199,712
200.0,1,0.001,200,747
200.0,1,0.001,201,720
200.0,1,0.001,202,759
200.0,1,0.001,203,719
200.0,1,0.001,204,749
200.0,1,0.001,205,756
200.0,1,0.001,206,714
200.0,1,0.001,207,758
200.0,1,0.001,208,725
200.0,1,0.001,209,732
200.0,1,0.001,210,738
200.0,1,0.001,211,701
200.0,1,0.001,212,763
200.0,1,0.001,213,747
200.0,1,0.001,214,764
200.0,1,0.001,215,765
200.0,1,0.001,216,777
200.0,1,0.001,217,724
200.0,1,0.001,218,808
200.0,1,0.001,219,744
200.0,1,0.001,220,728
200.0,1,0.001,221,691
200.0,1,0.001,222,735
200.0,1,0.001,223,719
200.0,1,0.001,224,720
200.0,1,0.001,225,754
200.0,1,0.001,226,751
200.0,1,0.001,227,742
