Nes,M,pA,rep,sweeps
100.0,1,0.0001,0,65
100.0,1,0.0001,1,68
100.0,1,0.0001,2,79
100.0,1,0.0001,3,87
100.0,1,0.0001,4,75
100.0,1,0.0001,5,83
100.0,1,0.0001,6,74
100.0,1,0.0001,7,87
100.0,1,0.0001,8,84
100.0,1,0.0001,9,79
100.0,1,0.0001,10,78
100.0,1,0.0001,11,87
100.0,1,0.0001,12,76
100.0,1,0.0001,13,77
100.0,1,0.0001,14,89
100.0,1,0.0001,15,89
100.0,1,0.0001,16,93
100.0,1,0.0001,17,76
100.0,1,0.0001,18,90
100.0,1,0.0001,19,69
100.0,1,0.0001,20,89
100.0,1,0.0001,21,67
100.0,1,0.0001,22,89
100.0,1,0.0001,23,81
100.0,1,0.0001,24,79
100.0,1,0.0001,25,92
100.0,1,0.0001,26,94
100.0,1,0.0001,27,84
100.0,1,0.0001,28,80
100.0,1,0.0001,29,96
100.0,1,0.0001,30,73
100.0,1,0.0001,31,81
100.0,1,0.0001,32,70
100.0,1,0.0001,33,80
100.0,1,0.0001,34,73
100.0,1,0.0001,35,81
100.0,1,0.0001,36,74
100.0,1,0.0001,37,81
100.0,1,0.0001,38,91
100.0,1,0.0001,39,82
100.0,1,0.0001,40,85
100.0,1,0.0001,41,88
100.0,1,0.0001,42,80
100.0,1,0.0001,43,72
100.0,1,0.0001,44,74
100.0,1,0.0001,45,100
100.0,1,0.0001,46,87
100.0,1,0.0001,47,73
100.0,1,0.0001,48,91
100.0,1,0.0001,49,79
100.0,1,0.0001,50,88
100.0,1,0.0001,51,79
100.0,1,0.0001,52,90
100.0,1,0.0001,53,81
100.0,1,0.0001,54,81
100.0,1,0.0001,55,76
100.0,1,0.0001,56,85
100.0,1,0.0001,57,72
100.0,1,0.0001,58,60
100.0,1,0.0001,59,94
100.0,1,0.0001,60,83
100.0,1,0.0001,61,83
100.0,1,0.0001,62,86
100.0,1,0.0001,63,75
100.0,1,0.0001,64,93
100.0,1,0.0001,65,75
100.0,1,0.0001,66,93
100.0,1,0.0001,67,85
100.0,1,0.0001,68,66
100.0,1,0.0001,69,82
100.0,1,0.0001,70,80
100.0,1,0.0001,71,74
100.0,1,0.0001,72,85
100.0,1,0.0001,73,97
100.0,1,0.0001,74,77
100.0,1,0.0001,75,82
100.0,1,0.0001,76,82
100.0,1,0.0001,77,80
100.0,1,0.0001,78,95
100.0,1,0.0001,79,92
100.0,1,0.0001,80,102
100.0,1,0.0001,81,74
100.0,1,0.0001,82,77
100.0,1,0.0001,83,96
100.0,1,0.0001,84,83
100.0,1,0.0001,85,68
100.0,1,0.0001,86,99
100.0,1,0.0001,87,89
100.0,1,0.0001,88,72
100.0,1,0.0001,89,83
100.0,1,0.0001,90,75
100.0,1,0.0001,91,65
100.0,1,0.0001,92,80
100.0,1,0.0001,93,96
100.0,1,0.0001,94,89
100.0,1,0.0001,95,88
100.0,1,0.0001,96,84
100.0,1,0.0001,97,75
100.0,1,0.0001,98,95
100.0,1,0.0001,99,87
100.0,1,0.0001,100,82
100.0,1,0.0001,101,84
100.0,1,0.0001,102,85
100.0,1,0.0001,103,88
100.0,1,0.0001,104,89
100.0,1,0.0001,105,88
100.0,1,0.0001,106,68
100.0,1,0.0001,107,93
100.0,1,0.0001,108,74
100.0,1,0.0001,109,81
100.0,1,0.0001,110,83
100.0,1,0.0001,111,70
100.0,1,0.0001,112,95
100.0,1,0.0001,113,79
100.0,1,0.0001,114,77
100.0,1,0.0001,115,79
100.0,1,0.0001,116,80
100.0,1,0.0001,117,71
100.0,1,0.0001,118,78
100.0,1,0.0001,119,72
100.0,1,0.0001,120,72
100.0,1,0.0001,121,83
100.0,1,0.0001,122,77
100.0,1,0.0001,123,92
100.0,1,0.0001,124,79
100.0,1,0.0001,125,87
100.0,1,0.0001,126,85
100.0,1,0.0001,127,85
100.0,1,0.0001,128,81
100.0,1,0.0001,129,80
100.0,1,0.0001,130,79
100.0,1,0.0001,131,70
100.0,1,0.0001,132,68
100.0,1,0.0001,133,89
100.0,1,0.0001,134,74
100.0,1,0.0001,135,92
100.0,1,0.0001,136,90
100.0,1,0.0001,137,86
100.0,1,0.0001,138,61
100.0,1,0.0001,139,72
100.0,1,0.0001,140,88
100.0,1,0.0001,141,84
100.0,1,0.0001,142,107
100.0,1,0.0001,143,84
100.0,1,0.0001,144,80
100.0,1,0.0001,145,82
100.0,1,0.0001,146,81
100.0,1,0.0001,147,84
100.0,1,0.0001,148,86
