Nes,M,pA,rep,sweeps
200.0,1,0.0001,212,97
200.0,1,0.0001,213,84
200.0,1,0.0001,214,81
200.0,1,0.0001,215,85
200.0,1,0.0001,216,78
200.0,1,0.0001,217,68
200.0,1,0.0001,218,98
200.0,1,0.0001,219,74
200.0,1,0.0001,220,89
200.0,1,0.0001,221,86
200.0,1,0.0001,222,91
200.0,1,0.0001,223,85
200.0,1,0.0001,224,76
200.0,1,0.0001,225,96
200.0,1,0.0001,226,80
200.0,1,0.0001,227,71
200.0,1,0.0001,228,89
200.0,1,0.0001,229,75
200.0,1,0.0001,230,80
200.0,1,0.0001,231,76
200.0,1,0.0001,232,91
200.0,1,0.0001,233,91
200.0,1,0.0001,234,84
200.0,1,0.0001,235,85
200.0,1,0.0001,236,77
200.0,1,0.0001,237,76
200.0,1,0.0001,238,94
200.0,1,0.0001,239,93
200.0,1,0.0001,240,66
200.0,1,0.0001,241,87
200.0,1,0.0001,242,90
200.0,1,0.0001,243,88
200.0,1,0.0001,244,77
200.0,1,0.0001,245,83
200.0,1,0.0001,246,75
200.0,1,0.0001,247,80
200.0,1,0.0001,248,71
200.0,1,0.0001,249,75
200.0,1,0.0001,250,100
200.0,1,0.0001,251,71
200.0,1,0.0001,252,100
200.0,1,0.0001,253,86
200.0,1,0.0001,254,84
200.0,1,0.0001,255,101
200.0,1,0.0001,256,78
200.0,1,0.0001,257,65
200.0,1,0.0001,258,94
200.0,1,0.0001,259,86
200.0,1,0.0001,260,76
200.0,1,0.0001,261,105
200.0,1,0.0001,262,86
200.0,1,0.0001,263,79
200.0,1,0.0001,264,87
200.0,1,0.0001,265,75
200.0,1,0.0001,266,85
200.0,1,0.0001,267,77
200.0,1,0.0001,268,88
200.0,1,0.0001,269,90
200.0,1,0.0001,270,87
200.0,1,0.0001,271,91
200.0,1,0.0001,272,83
200.0,1,0.0001,273,66
200.0,1,0.0001,274,98
200.0,1,0.0001,275,81
200.0,1,0.0001,276,76
200.0,1,0.0001,277,78
200.0,1,0.0001,278,90
200.0,1,0.0001,279,74
200.0,1,0.0001,280,90
200.0,1,0.0001,281,100
200.0,1,0.0001,282,68
200.0,1,0.0001,283,91
200.0,1,0.0001,284,82
200.0,1,0.0001,285,98
200.0,1,0.0001,286,94
200.0,1,0.0001,287,89
200.0,1,0.0001,288,80
200.0,1,0.0001,289,70
200.0,1,0.0001,290,83
200.0,1,0.0001,291,98
200.0,1,0.0001,292,90
200.0,1,0.0001,293,76
200.0,1,0.0001,294,90
200.0,1,0.0001,295,78
200.0,1,0.0001,296,79
200.0,1,0.0001,297,77
200.0,1,0.0001,298,80
200.0,1,0.0001,299,93
200.0,1,0.0001,300,85
200.0,1,0.0001,301,72
200.0,1,0.0001,302,89
200.0,1,0.0001,303,76
200.0,1,0.0001,304,88
200.0,1,0.0001,305,87
200.0,1,0.0001,306,77
200.0,1,0.0001,307,88
200.0,1,0.0001,308,79
200.0,1,0.0001,309,102
200.0,1,0.0001,310,80
200.0,1,0.0001,311,89
200.0,1,0.0001,312,87
200.0,1,0.0001,313,97
200.0,1,0.0001,314,86
200.0,1,0.0001,315,82
200.0,1,0.0001,316,70
200.0,1,0.0001,317,68
200.0,1,0.0001,318,84
200.0,1,0.0001,319,57
200.0,1,0.0001,320,80
200.0,1,0.0001,321,96
200.0,1,0.0001,322,73
200.0,1,0.0001,323,89
200.0,1,0.0001,324,100
200.0,1,0.0001,325,78
200.0,1,0.0001,326,93
200.0,1,0.0001,327,93
200.0,1,0.0001,328,86
200.0,1,0.0001,329,87
200.0,1,0.0001,330,89
200.0,1,0.0001,331,85
200.0,1,0.0001,332,84
200.0,1,0.0001,333,92
