name,rep,s,Ua,distance,fstOutliers
c0/run8.s0.02.Ua0.1.d100.csv,8,0.02,0.1,100,3
c0/run9.s0.002.Ua1.0.d200.csv,9,0.002,1.0,200,5
c0/run28.s0.0006.Ua0.1.d400.csv,28,0.0006,0.1,400,0
c0/run18.s0.006.Ua1.0.d400.csv,18,0.006,1.0,400,29
c0/run23.s0.0002.Ua10.0.d400.csv,23,0.0002,10.0,400,27
c0/run20.s0.0002.Ua1.0.d200.csv,20,0.0002,1.0,200,0
c0/run30.s0.002.Ua10.0.d200.csv,30,0.002,10.0,200,67
c0/run4.s0.002.Ua1.0.d200.csv,4,0.002,1.0,200,11
c0/run3.s0.006.Ua0.1.d400.csv,3,0.006,0.1,400,0
c0/run17.s0.006.Ua0.1.d300.csv,17,0.006,0.1,300,1
c0/run29.s0.006.Ua1.0.d200.csv,29,0.006,1.0,200,15
c0/run3.s0.002.Ua0.1.d300.csv,3,0.002,0.1,300,1
c0/run14.s0.0002.Ua1.0.d200.csv,14,0.0002,1.0,200,0
c0/run16.s0.0002.Ua10.0.d400.csv,16,0.0002,10.0,400,26
c0/run13.s0.0002.Ua10.0.d200.csv,13,0.0002,10.0,200,4
c0/run17.s0.006.Ua10.0.d400.csv,17,0.006,10.0,400,214
c0/run29.s0.0006.Ua0.1.d100.csv,29,0.0006,0.1,100,0
c0/run26.s0.0006.Ua10.0.d100.csv,26,0.0006,10.0,100,1
c0/run10.s0.006.Ua1.0.d200.csv,10,0.006,1.0,200,8
c0/run17.s0.006.Ua10.0.d300.csv,17,0.006,10.0,300,188
c0/run15.s0.0002.Ua1.0.d100.csv,15,0.0002,1.0,100,0
c0/run3.s0.0002.Ua10.0.d100.csv,3,0.0002,10.0,100,0
c0/run28.s0.006.Ua0.1.d100.csv,28,0.006,0.1,100,0
c0/run17.s0.002.Ua10.0.d200.csv,17,0.002,10.0,200,70
c0/run18.s0.0002.Ua10.0.d200.csv,18,0.0002,10.0,200,9
c0/run4.s0.0002.Ua1.0.d300.csv,4,0.0002,1.0,300,1
c0/run27.s0.0002.Ua10.0.d400.csv,27,0.0002,10.0,400,27
c0/run9.s0.006.Ua0.1.d400.csv,9,0.006,0.1,400,1
