shat,w_size,M,pA,rep,o999,o9999,o99999,o999_irs,o9999_irs,o99999_irs
0.02,10000.0,10,0.001,66,0.009125,0.0042,0.001275,0.0036,0.00175,0.0007
0.02,10000.0,10,0.001,67,0.00885,0.0045,0.00135,0.003025,0.001875,0.000625
0.02,10000.0,10,0.001,68,0.00795,0.00415,0.0013,0.002725,0.00155,0.000575
0.02,10000.0,10,0.001,69,0.009375,0.0047,0.00165,0.003975,0.00245,0.001025
0.02,10000.0,10,0.001,70,0.009275,0.004475,0.0014,0.00325,0.001775,0.000625
0.02,10000.0,10,0.001,71,0.00885,0.003975,0.0012,0.003325,0.001875,0.000775
0.02,10000.0,10,0.001,72,0.008775,0.00425,0.0013,0.0031,0.001825,0.00065
0.02,10000.0,10,0.001,73,0.0093,0.004075,0.0014,0.003675,0.001775,0.0006
0.02,10000.0,10,0.001,74,0.008825,0.004425,0.001375,0.0034,0.00205,0.00065
0.02,10000.0,10,0.001,75,0.0091,0.0046,0.001575,0.00385,0.0021,0.00075
0.02,10000.0,10,0.001,76,0.0082,0.003925,0.0012,0.003075,0.0017,0.0006
0.02,10000.0,10,0.001,77,0.0087,0.004175,0.001325,0.003125,0.002025,0.000775
0.02,10000.0,10,0.001,78,0.008675,0.00435,0.001225,0.0031,0.001925,0.0007
0.02,10000.0,10,0.001,79,0.009525,0.004825,0.001575,0.00365,0.002175,0.0009
0.02,10000.0,10,0.001,80,0.009125,0.004375,0.001125,0.00315,0.001675,0.000425
0.02,10000.0,10,0.001,81,0.0083,0.004025,0.00135,0.003175,0.001725,0.000675
0.02,10000.0,10,0.001,82,0.00925,0.0042,0.00135,0.0035,0.00175,0.000625
0.02,10000.0,10,0.001,83,0.0084,0.003875,0.001725,0.003275,0.0018,0.000875
0.02,10000.0,10,0.001,84,0.008825,0.0044,0.00125,0.0032,0.001875,0.0006
0.02,10000.0,10,0.001,85,0.008775,0.004375,0.001325,0.003225,0.001625,0.000575
0.02,10000.0,10,0.001,86,0.008775,0.0039,0.0011,0.00295,0.0016,0.00055
0.02,10000.0,10,0.001,87,0.0089,0.00425,0.0013,0.0031,0.001725,0.0005
0.02,10000.0,10,0.001,88,0.008125,0.0037,0.00095,0.0029,0.0016,0.000475
0.02,10000.0,10,0.001,89,0.00925,0.00435,0.0013,0.003375,0.001875,0.000625
0.02,10000.0,10,0.001,90,0.009175,0.0045,0.00155,0.0034,0.001925,0.000775
0.02,10000.0,10,0.001,91,0.0093,0.004275,0.001525,0.004,0.00215,0.00075
0.02,10000.0,10,0.001,92,0.008775,0.00435,0.001275,0.003575,0.0019,0.000725
0.02,10000.0,10,0.001,93,0.00875,0.00465,0.001275,0.003075,0.002,0.00055
0.02,10000.0,10,0.001,94,0.00885,0.0043,0.001375,0.00315,0.0017,0.000775
0.02,10000.0,10,0.001,95,0.009325,0.00425,0.001175,0.0036,0.001775,0.0006
0.02,10000.0,10,0.001,96,0.0081,0.00425,0.00085,0.003075,0.00185,0.000425
0.02,10000.0,10,0.001,97,0.0088,0.00415,0.001225,0.0033,0.001775,0.000625
0.02,10000.0,10,0.001,98,0.00935,0.0047,0.001675,0.003525,0.0019,0.000825
0.02,10000.0,10,0.001,99,0.009125,0.004375,0.0014,0.00365,0.00195,0.00075
0.02,10000.0,10,0.001,100,0.008625,0.0043,0.0014,0.003025,0.001825,0.00075
0.02,10000.0,10,0.001,101,0.009525,0.004725,0.001375,0.0035,0.00215,0.000625
0.02,10000.0,10,0.001,102,0.009525,0.004275,0.001475,0.003775,0.00195,0.0007
0.02,10000.0,10,0.001,103,0.00955,0.004475,0.001275,0.00365,0.002,0.000725
