shat,w_size,M,pA,rep,o999,o9999,o99999,o999_irs,o9999_irs,o99999_irs
0.01,10000.0,1,0.0001,est,0.0015,0.00025,2.5e-05,0.0005,0.000125,0.0
0.01,10000.0,1,0.0001,0,0.00165,0.000375,7.5e-05,0.000575,0.00015,0.0
0.01,10000.0,1,0.0001,1,0.001275,0.00015,2.5e-05,0.00045,7.5e-05,0.0
0.01,10000.0,1,0.0001,2,0.001225,0.0002,0.0,0.00055,0.00015,0.0
0.01,10000.0,1,0.0001,3,0.001575,0.0004,5e-05,0.0006,0.000225,0.0
0.01,10000.0,1,0.0001,4,0.001475,0.00025,0.0,0.000675,0.00015,0.0
0.01,10000.0,1,0.0001,5,0.00115,0.0003,0.0,0.000375,0.000125,0.0
0.01,10000.0,1,0.0001,6,0.001825,0.0004,7.5e-05,0.00075,0.00015,0.0
0.01,10000.0,1,0.0001,7,0.00145,0.00025,5e-05,0.00035,0.000125,0.0
0.01,10000.0,1,0.0001,8,0.00155,0.000225,0.0,0.000425,7.5e-05,0.0
0.01,10000.0,1,0.0001,9,0.001725,0.000375,2.5e-05,0.0006,0.00015,0.0
0.01,10000.0,1,0.0001,10,0.001175,0.00025,0.0001,0.000325,2.5e-05,0.0
0.01,10000.0,1,0.0001,11,0.0014,0.00025,0.0,0.00065,0.0002,0.0
0.01,10000.0,1,0.0001,12,0.0015,0.000275,0.0,0.00055,0.000175,0.0
0.01,10000.0,1,0.0001,13,0.001725,0.000375,5e-05,0.0005,0.00015,0.0
0.01,10000.0,1,0.0001,14,0.001675,0.000175,0.0,0.0004,5e-05,0.0
0.01,10000.0,1,0.0001,15,0.00125,0.0002,0.0,0.000425,0.0001,0.0
0.01,10000.0,1,0.0001,16,0.001875,0.000275,2.5e-05,0.000625,0.0002,0.0
0.01,10000.0,1,0.0001,17,0.0019,0.000275,0.0,0.000575,0.0001,0.0
0.01,10000.0,1,0.0001,18,0.0012,0.00015,0.0,0.000525,0.0001,0.0
0.01,10000.0,1,0.0001,19,0.00145,0.00025,5e-05,0.0006,0.000175,0.0
0.01,10000.0,1,0.0001,20,0.001925,0.00045,0.0001,0.000775,0.0002,0.0
0.01,10000.0,1,0.0001,21,0.0013,0.000225,0.0,0.00045,0.00015,0.0
0.01,10000.0,1,0.0001,22,0.001625,0.00035,0.0,0.000575,0.0002,0.0
0.01,10000.0,1,0.0001,23,0.00145,0.00045,2.5e-05,0.000525,0.000175,0.0
0.01,10000.0,1,0.0001,24,0.0016,0.00035,2.5e-05,0.00055,0.000125,0.0
0.01,10000.0,1,0.0001,25,0.00155,0.000275,2.5e-05,0.00055,0.00015,0.0
0.01,10000.0,1,0.0001,26,0.001575,0.0002,0.0,0.0006,0.00015,0.0
0.01,10000.0,1,0.0001,27,0.001975,0.0005,2.5e-05,0.001025,0.00035,0.0
0.01,10000.0,1,0.0001,28,0.00155,0.0003,2.5e-05,0.00075,0.0002,0.0
0.01,10000.0,1,0.0001,29,0.001475,0.00015,0.0,0.00055,7.5e-05,0.0
0.01,10000.0,1,0.0001,30,0.001675,0.00035,2.5e-05,0.0006,0.000175,0.0
0.01,10000.0,1,0.0001,31,0.001175,0.00015,5e-05,0.000375,2.5e-05,0.0
0.01,10000.0,1,0.0001,32,0.001075,0.0002,7.5e-05,0.00035,0.0001,0.0
0.01,10000.0,1,0.0001,33,0.001425,0.000225,2.5e-05,0.00035,7.5e-05,0.0
0.01,10000.0,1,0.0001,34,0.001625,0.000325,7.5e-05,0.000475,7.5e-05,0.0
0.01,10000.0,1,0.0001,35,0.001325,0.00015,0.0,0.0006,0.000125,0.0
0.01,10000.0,1,0.0001,36,0.001375,0.00035,2.5e-05,0.00045,0.000125,0.0
0.01,10000.0,1,0.0001,37,0.00115,0.000175,2.5e-05,0.000325,0.0001,0.0
0.01,10000.0,1,0.0001,38,0.0017,0.0002,0.0,0.00055,0.0001,0.0
0.01,10000.0,1,0.0001,39,0.001825,0.0003,5e-05,0.000575,0.0002,0.0
0.01,10000.0,1,0.0001,40,0.001475,0.000325,5e-05,0.00035,0.0001,0.0
0.01,10000.0,1,0.0001,41,0.00145,0.000375,2.5e-05,0.0006,0.00025,0.0
0.01,10000.0,1,0.0001,42,0.001325,0.00015,0.0,0.0006,0.0001,0.0
0.01,10000.0,1,0.0001,43,0.0013,0.000275,2.5e-05,0.0005,0.00015,0.0
0.01,10000.0,1,0.0001,44,0.0015,0.000275,2.5e-05,0.000525,0.000175,0.0
0.01,10000.0,1,0.0001,45,0.0012,0.0001,2.5e-05,0.000375,2.5e-05,0.0
0.01,10000.0,1,0.0001,46,0.001325,0.000225,2.5e-05,0.00035,5e-05,0.0
0.01,10000.0,1,0.0001,47,0.00135,0.00015,0.0,0.000425,0.0001,0.0
0.01,10000.0,1,0.0001,48,0.0013,0.0002,0.0001,0.0003,0.0,0.0
0.01,10000.0,1,0.0001,49,0.00135,0.0002,0.0,0.000575,7.5e-05,0.0
0.01,10000.0,1,0.0001,50,0.001575,0.00035,0.0,0.000475,0.00015,0.0
0.01,10000.0,1,0.0001,51,0.001475,0.0003,2.5e-05,0.0006,0.00025,0.0
0.01,10000.0,1,0.0001,52,0.001475,0.0003,5e-05,0.000525,0.000225,0.0
0.01,10000.0,1,0.0001,53,0.001525,0.000275,5e-05,0.000375,0.0001,0.0
0.01,10000.0,1,0.0001,54,0.0012,0.000275,0.0,0.000425,0.000175,0.0
0.01,10000.0,1,0.0001,55,0.0016,0.000225,2.5e-05,0.0007,0.00015,0.0
0.01,10000.0,1,0.0001,56,0.0017,0.000275,2.5e-05,0.000425,5e-05,0.0
0.01,10000.0,1,0.0001,57,0.0019,0.0004,0.0,0.00055,0.00015,0.0
0.01,10000.0,1,0.0001,58,0.001375,0.00015,2.5e-05,0.000425,7.5e-05,0.0
0.01,10000.0,1,0.0001,59,0.001775,0.0003,0.0,0.000675,0.0002,0.0
0.01,10000.0,1,0.0001,60,0.001875,0.00035,7.5e-05,0.000675,0.00015,0.0
0.01,10000.0,1,0.0001,61,0.001275,0.000175,2.5e-05,0.000375,7.5e-05,0.0
0.01,10000.0,1,0.0001,62,0.00145,0.00035,2.5e-05,0.000325,0.0002,0.0
0.01,10000.0,1,0.0001,63,0.001625,0.000325,7.5e-05,0.000425,0.00015,0.0
0.01,10000.0,1,0.0001,64,0.00145,0.0003,0.0,0.000525,0.000175,0.0
0.01,10000.0,1,0.0001,65,0.0014,0.000225,0.0,0.000375,0.00015,0.0
0.01,10000.0,1,0.0001,66,0.001475,0.000225,2.5e-05,0.00045,0.0001,0.0
0.01,10000.0,1,0.0001,67,0.001475,0.00025,2.5e-05,0.00045,7.5e-05,0.0
0.01,10000.0,1,0.0001,68,0.001775,0.0002,0.0,0.000725,7.5e-05,0.0
0.01,10000.0,1,0.0001,69,0.001525,0.0001,2.5e-05,0.000575,5e-05,0.0
0.01,10000.0,1,0.0001,70,0.001425,0.000325,0.0,0.0004,7.5e-05,0.0
0.01,10000.0,1,0.0001,71,0.001675,0.00025,2.5e-05,0.000525,0.000175,0.0
0.01,10000.0,1,0.0001,72,0.001625,0.000325,2.5e-05,0.000625,0.000175,0.0
0.01,10000.0,1,0.0001,73,0.001525,0.000325,0.0,0.0006,0.000225,0.0
0.01,10000.0,1,0.0001,74,0.0015,0.000375,2.5e-05,0.000475,0.000225,0.0
0.01,10000.0,1,0.0001,75,0.001475,0.000325,5e-05,0.000525,0.0002,0.0
0.01,10000.0,1,0.0001,76,0.001575,0.000225,2.5e-05,0.0005,0.000125,0.0
0.01,10000.0,1,0.0001,77,0.001425,0.000175,2.5e-05,0.0006,0.000125,0.0
0.01,10000.0,1,0.0001,78,0.0017,0.000325,5e-05,0.000625,0.0002,0.0
0.01,10000.0,1,0.0001,79,0.001775,0.0002,2.5e-05,0.000675,0.0001,0.0
0.01,10000.0,1,0.0001,80,0.001225,0.000125,5e-05,0.00035,0.0,0.0
0.01,10000.0,1,0.0001,81,0.0012,0.000175,0.0,0.0004,0.0001,0.0
0.01,10000.0,1,0.0001,82,0.0015,0.000275,5e-05,0.00045,7.5e-05,0.0
